nom_table	nom_champ1	nom_champ2	res_min	res_max	ratio_distinct	nb_valeur_distincts_50	nb_valeur_distincts_500	nb_valeur_distincts_5000	statut
b_v_ngo_t_provision_rap	date_estimee	param_calcul	-0.7919514658403254	-2.1444045770937343	0.5	1	0	0	0
b_v_p3i_r_indiv	date_estimee	param_calcul	-0.8392999289182099	-2.0795143920180883	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	insidec_f	pernoml_re	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	rcscodc	pernoml_uj	-0.039016578673880024	-0.7862128766054249	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	insidec_h	reglibl_r	-0.039016578673880024	0.43969956189145476	1.5	1	0	0	0
b_v_ngo_t_provision_rap	categorie	code_provision	-0.2798058777041906	-1.041333271630557	0.8571428571428571	1	0	0	0
b_v_p3i_r_indiv	categorie	code_provision	-0.32493060758356446	-0.8198142183303451	1.0	1	0	0	0
b_t_bmg_t_ref_statut_occp	cd_statut_occp	l_statut_occp	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_t_bmg_t_ref_statut_occp	cd_statut_occp	l_statut_occp	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_ngo_t_sinistre	indic_hospi	lib_info_2	-0.4871400161605362	-1.4556815914333965	2.0	1	0	0	0
b_v_ngo_t_contrat	flag_madelin	lib_opt_secu	-0.5072599632388266	0.5067628857405905	1.0	1	0	0	0
b_v_ngo_t_contrat	flag_mono_multi_supp	lib_qual_pers_2	0.7144998707724005	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_rj	pernoml_re	0.06994634805311405	0.3086484063812354	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_rj	pernoml_re	0.06994634805311405	0.3086484063812354	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	regidec_e	reglibl_d	-0.2533883871903958	-1.042777385492859	1.0	1	0	0	0
b_v_gbp_e_t5_fin	entite	systeme	0.16900978177123047	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtititu	titncgn	titbdil	-3.1607111590761607	-1.565917648583354	1.018770226537217	0	0	0	0
b_i_tcga_i_dmtititu	titncgn	titbdil	-3.1607111590761607	-1.565917648583354	1.018770226537217	0	0	0	0
b_i_tcga_i_dmtaxeint	ureidec_j	reglibl_e	-0.23325406872133544	-1.0061693603827342	1.0	1	0	0	0
b_t_bmg_t_dwh_indc_cli	cd_type_cli_rc	cd_mod_der_actr	-0.5525906830525735	-0.17227373667326507	1.0	1	0	0	0
b_v_gb2k_r_contrats	indicateur_maj_deces_a1	flag_individuel_collectif	-0.8350234820713553	-0.0804636317289859	1.0	1	0	0	0
b_t_bmg_t_ref_grav_sinstr	cd_grav_sinstr	l_grav_sinstr	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_t_bmg_t_ref_grav_sinstr	cd_grav_sinstr	l_grav_sinstr	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_tcol_r_dm_contrat_option	cdtypcoa	lbtyprea	0.5517199179818522	0.4456188609313883	1.0	1	0	0	0
b_v_tcol_r_dm_contrat_option	cdtypcoa	lbtyprea	0.5517199179818522	0.4456188609313883	1.0	1	0	0	0
b_v_ngo_t_sinistre	indic_lg_mal	lib_famille_pdt	-0.09326809978505325	0.44544466143050776	3.0	1	0	0	0
b_v_gb2k_e_contrats	code_origine_frais	libelle_code_origine_frais	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_e_contrats	code_origine_frais	libelle_code_origine_frais	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_r_contrats	code_origine_frais	libelle_code_origine_frais	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_r_contrats	code_origine_frais	libelle_code_origine_frais	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_i_gps_i_inf_devis_orgtu_emb	org_bat_emb_bat_id	org_bat_emb_marque	-2.616426829760611	-0.8426700638434261	1.6875	1	0	0	0
b_i_gps_i_inf_devis_orgtu_emb	org_bat_emb_bat_id	org_bat_emb_marque	-2.616426829760611	-0.8426700638434261	1.6875	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_uh	pernoml_rh	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_uh	pernoml_rh	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_uj	pernoml_rh	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	insidec_j	pernoml_ud	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_rd	pernoml_ur	-0.039016578673880024	0.43969956189145476	1.5	1	0	0	0
b_v_bred_e_psap	personne	nom	0.7448714099334387	0.5067628857405905	1.0	0	1	0	0
b_v_gbp_e_t5_fin	f_calc_pb	reseau_new	-0.08895668255399157	0.5067628857405905	1.0	1	0	0	0
b_v_gbp_e_t5_fin	flag_ggp	reseau_new	-0.9686774162342832	0.5048466912308999	1.0	1	0	0	0
b_v_ngo_t_contrat	flag_pep	seg_tarif_type_1_fumer	-0.6018237145067904	0.5061531874875068	1.0	1	0	0	0
b_v_apg_r_recap_dc	tiers	assure	0.4228233932102214	0.36037694816782334	1.0188679245283019	0	1	0	0
b_i_tcga_i_dmtaxeint	regidec_f	urelibl_e	0.4381179063142352	-0.05097339822485457	1.0	1	0	0	0
b_m_nps_t_personne_statut	code_statut	lib_statut	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_m_nps_t_personne_statut	code_statut	lib_statut	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_ngo_t_contrat	cd_popul	nat_risque	0.6499244215782689	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_rf	dlglibl	0.7419952155939612	0.5015334167241453	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	insidec_e	pernoml_rd	0.06994634805311405	0.3086484063812354	1.0	1	0	0	0
b_i_ass_i_p_ev_iard_solvency	sexe_du_rentier	type_annuites	-0.7902829473719043	0.504673362727524	0.5	1	0	0	0
b_v_ass_v_p_ev_vie_solvency	sexe_du_rentier	type_annuites	-1.2032185136040672	-2.1221688818037907	1.0	1	0	0	0
b_m_nps_t_hierarchie_adm	level5_id	level5_name	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_m_nps_t_hierarchie_adm	level5_id	level5_name	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_v_gpas_s_prime_ptf_gpat	codbranch	libgarant	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeprod	mrccodc	mrclibl	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_r_gnr_t_rsbpers	permatn	pervnal	-0.30746745161232697	0.34588354969453133	0.9199917729329494	0	0	1	0
b_v_gb2k_e_contrats	type_personne_a1	libelle_code_nantissement	0.35791309061114385	0.19730966639070097	1.0	1	0	0	0
b_v_p3i_r_indiv	type_tempo_novita	societe_2	0.7409791582665077	0.5049938898091452	1.5	1	0	0	0
